Country,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,CasesPer1M,DeathsPer1M,TotalTests,TestsPer1M,WHORegion,iso_alpha,CaseFatalityRate,RecoveryRate,ActiveCaseRate,TestsPerCase
St. Vincent Grenadines,North America,110976.0,56,0.0,119.0,0.0,46.0,0.0,10.0,0.0,505.0,29.0,2447.0,22050.0,Unknown,,212.5,82.14,17.86,43.7
Saint Martin,North America,38729.0,53,0.0,3.0,0.0,41.0,0.0,9.0,1.0,1368.0,77.0,1183.0,30546.0,Unknown,MAF,5.66,77.36,16.98,22.32
Macao,Asia,650193.0,46,0.0,119.0,0.0,46.0,0.0,0.0,0.0,71.0,29.0,4071.0,6261.0,Unknown,MAC,258.7,100.0,0.0,88.5
Curaçao,North America,164161.0,31,0.0,1.0,0.0,28.0,0.0,2.0,0.0,189.0,6.0,1080.0,6579.0,Unknown,NLD,3.23,90.32,6.45,34.84
Fiji,Australia/Oceania,897095.0,27,0.0,1.0,0.0,18.0,0.0,8.0,0.0,30.0,1.0,6693.0,7461.0,WesternPacific,FJI,3.7,66.67,29.63,247.89
Saint Lucia,North America,183712.0,25,0.0,119.0,0.0,24.0,0.0,1.0,0.0,136.0,29.0,3895.0,21202.0,Americas,LCA,476.0,96.0,4.0,155.8
Timor-Leste,Asia,1320812.0,25,0.0,119.0,0.0,24.0,0.0,1.0,0.0,19.0,29.0,4238.0,3209.0,South-EastAsia,TLS,476.0,96.0,4.0,169.52
Grenada,North America,112576.0,24,0.0,119.0,0.0,23.0,0.0,1.0,0.0,213.0,29.0,6252.0,55536.0,Americas,GRD,495.83,95.83,4.17,260.5
New Caledonia,Australia/Oceania,285769.0,22,0.0,119.0,0.0,22.0,0.0,0.0,0.0,77.0,29.0,11099.0,38839.0,Unknown,NCL,540.91,100.0,0.0,504.5
Laos,Asia,7285750.0,20,0.0,119.0,0.0,19.0,0.0,1.0,0.0,3.0,29.0,29374.0,4032.0,WesternPacific,,595.0,95.0,5.0,1468.7
Dominica,North America,72004.0,18,0.0,119.0,0.0,18.0,0.0,0.0,0.0,250.0,29.0,1005.0,13958.0,Americas,DMA,661.11,100.0,0.0,55.83
Saint Kitts and Nevis,North America,53237.0,17,0.0,119.0,0.0,16.0,0.0,1.0,0.0,319.0,29.0,1146.0,21526.0,Americas,KNA,700.0,94.12,5.88,67.41
Greenland,North America,56780.0,14,0.0,119.0,0.0,14.0,0.0,0.0,0.0,247.0,29.0,5977.0,105266.0,Europe,GRL,850.0,100.0,0.0,426.93
Montserrat,North America,4992.0,13,0.0,1.0,0.0,10.0,0.0,2.0,0.0,2604.0,200.0,61.0,12220.0,Unknown,MSR,7.69,76.92,15.38,4.69
Caribbean Netherlands,North America,26247.0,13,0.0,119.0,0.0,7.0,0.0,6.0,0.0,495.0,29.0,424.0,16154.0,Unknown,,915.38,53.85,46.15,32.62
Falkland Islands,South America,3489.0,13,0.0,119.0,0.0,13.0,0.0,0.0,0.0,3726.0,29.0,1816.0,520493.0,Unknown,FLK,915.38,100.0,0.0,139.69
Vatican City,Europe,801.0,12,0.0,119.0,0.0,12.0,0.0,0.0,0.0,14981.0,29.0,135702.0,32585.0,Europe,VAT,991.67,100.0,0.0,11308.5
Western Sahara,Africa,598682.0,10,0.0,1.0,0.0,8.0,0.0,1.0,0.0,17.0,2.0,135702.0,32585.0,Africa,ESH,10.0,80.0,10.0,13570.2
